quarter,level_1,level_2,value
2009-Q3,Total,Recreational Goods,91.6
2009-Q3,Total,Watches & Jewellery,80
2009-Q3,Total,Computer & Telecommunications Equipment,75.4
2009-Q3,Total,Optical Goods & Books,97.9
2009-Q3,Total,Others,100.4
2009-Q4,Total,Department Stores,91.5
2009-Q4,Total,Supermarkets,97.2
2009-Q4,Total,Mini-marts & Convenience Stores,98.6
2009-Q4,Total,Food Retailers,90.8
2009-Q4,Total,Motor Vehicles,170.6
2009-Q4,Total,Petrol Service Stations,95.5
2009-Q4,Total,Medical Goods & Toiletries,73.9
2009-Q4,Total,Wearing Apparel & Footwear,95.9
2009-Q4,Total,Furniture & Household Equipment,97.8
2009-Q4,Total,Recreational Goods,104.7
2009-Q4,Total,Watches & Jewellery,90.7
2009-Q4,Total,Computer & Telecommunications Equipment,87.5
2009-Q4,Total,Optical Goods & Books,109.1
2009-Q4,Total,Others,102.6
2010-Q1,Total,Department Stores,89.6
2010-Q1,Total,Supermarkets,100.8
2010-Q1,Total,Mini-marts & Convenience Stores,97.8
2010-Q1,Total,Food Retailers,101.5
2010-Q1,Total,Motor Vehicles,159.2
2010-Q1,Total,Petrol Service Stations,97.7
2010-Q1,Total,Medical Goods & Toiletries,77.3
2010-Q1,Total,Wearing Apparel & Footwear,98.4
2010-Q1,Total,Furniture & Household Equipment,94.5
2010-Q1,Total,Recreational Goods,94.6
2010-Q1,Total,Watches & Jewellery,82
2010-Q1,Total,Computer & Telecommunications Equipment,84.1
2010-Q1,Total,Optical Goods & Books,103.7
2010-Q1,Total,Others,98.5
2010-Q2,Total,Department Stores,88.1
2010-Q2,Total,Supermarkets,94
2010-Q2,Total,Mini-marts & Convenience Stores,93.7
2010-Q2,Total,Food Retailers,83.7
2010-Q2,Total,Motor Vehicles,121.7
2010-Q2,Total,Petrol Service Stations,97.2
2010-Q2,Total,Medical Goods & Toiletries,78.3
2010-Q2,Total,Wearing Apparel & Footwear,87.6
2010-Q2,Total,Furniture & Household Equipment,98.3
2010-Q2,Total,Recreational Goods,98
2010-Q2,Total,Watches & Jewellery,79.5
2010-Q2,Total,Computer & Telecommunications Equipment,74.5
2010-Q2,Total,Optical Goods & Books,102.9
2010-Q2,Total,Others,96.7
2010-Q3,Total,Department Stores,87.4
2010-Q3,Total,Supermarkets,96.5
2010-Q3,Total,Mini-marts & Convenience Stores,98.3
2010-Q3,Total,Food Retailers,90.3
2010-Q3,Total,Motor Vehicles,133.4
2010-Q3,Total,Petrol Service Stations,99
2010-Q3,Total,Medical Goods & Toiletries,79.2
2010-Q3,Total,Wearing Apparel & Footwear,88.2
2010-Q3,Total,Furniture & Household Equipment,102.3
2010-Q3,Total,Recreational Goods,93.9
2010-Q3,Total,Watches & Jewellery,81.2
2010-Q3,Total,Computer & Telecommunications Equipment,87.6
2010-Q3,Total,Optical Goods & Books,99.1
2010-Q3,Total,Others,100.7
2010-Q4,Total,Department Stores,96.6
2010-Q4,Total,Supermarkets,95.7
2010-Q4,Total,Mini-marts & Convenience Stores,99.8
2010-Q4,Total,Food Retailers,92.9
2010-Q4,Total,Motor Vehicles,131.9
2010-Q4,Total,Petrol Service Stations,95.3
2010-Q4,Total,Medical Goods & Toiletries,83.1
2010-Q4,Total,Wearing Apparel & Footwear,109.8
2010-Q4,Total,Furniture & Household Equipment,110.3
2010-Q4,Total,Recreational Goods,105.8
2010-Q4,Total,Watches & Jewellery,93.6
2010-Q4,Total,Computer & Telecommunications Equipment,94.8
2010-Q4,Total,Optical Goods & Books,114.2
2010-Q4,Total,Others,106.9
2011-Q1,Total,Department Stores,94.9
2011-Q1,Total,Supermarkets,96.9
2011-Q1,Total,Mini-marts & Convenience Stores,101.5
2011-Q1,Total,Food Retailers,105
2011-Q1,Total,Motor Vehicles,110.2
2011-Q1,Total,Petrol Service Stations,97.3
2011-Q1,Total,Medical Goods & Toiletries,84.9
2011-Q1,Total,Wearing Apparel & Footwear,102.8
2011-Q1,Total,Furniture & Household Equipment,101.5
2011-Q1,Total,Recreational Goods,97.1
2011-Q1,Total,Watches & Jewellery,89.4
2011-Q1,Total,Computer & Telecommunications Equipment,89.5
2011-Q1,Total,Optical Goods & Books,105.6
2011-Q1,Total,Others,104.7
2011-Q2,Total,Department Stores,93.5
2011-Q2,Total,Supermarkets,91.5
2011-Q2,Total,Mini-marts & Convenience Stores,99.1
2011-Q2,Total,Food Retailers,88.9
2011-Q2,Total,Motor Vehicles,132.2
2011-Q2,Total,Petrol Service Stations,100.3
2011-Q2,Total,Medical Goods & Toiletries,83
2011-Q2,Total,Wearing Apparel & Footwear,95.6
2011-Q2,Total,Furniture & Household Equipment,101.6
2011-Q2,Total,Recreational Goods,104.4
2011-Q2,Total,Watches & Jewellery,94.5
2011-Q2,Total,Computer & Telecommunications Equipment,89.8
2011-Q2,Total,Optical Goods & Books,99.5
2011-Q2,Total,Others,102
2011-Q3,Total,Department Stores,92.2
2011-Q3,Total,Supermarkets,95
2011-Q3,Total,Mini-marts & Convenience Stores,102.6
2011-Q3,Total,Food Retailers,91.4
2011-Q3,Total,Motor Vehicles,125.9
2011-Q3,Total,Petrol Service Stations,103.6
2011-Q3,Total,Medical Goods & Toiletries,84
2011-Q3,Total,Wearing Apparel & Footwear,95.3
2011-Q3,Total,Furniture & Household Equipment,104.2
2011-Q3,Total,Recreational Goods,99.7
2011-Q3,Total,Watches & Jewellery,85.3
2011-Q3,Total,Computer & Telecommunications Equipment,94.9
2011-Q3,Total,Optical Goods & Books,92.7
2011-Q3,Total,Others,104.9
2011-Q4,Total,Department Stores,102
2011-Q4,Total,Supermarkets,95.7
2011-Q4,Total,Mini-marts & Convenience Stores,101.2
2011-Q4,Total,Food Retailers,97.1
2011-Q4,Total,Motor Vehicles,131.9
2011-Q4,Total,Petrol Service Stations,100.1
2011-Q4,Total,Medical Goods & Toiletries,90.6
2011-Q4,Total,Wearing Apparel & Footwear,113.6
2011-Q4,Total,Furniture & Household Equipment,112.8
2011-Q4,Total,Recreational Goods,111.5
2011-Q4,Total,Watches & Jewellery,93.9
2011-Q4,Total,Computer & Telecommunications Equipment,126.7
2011-Q4,Total,Optical Goods & Books,108.2
2011-Q4,Total,Others,108.2
2012-Q1,Total,Department Stores,97.5
2012-Q1,Total,Supermarkets,100.4
2012-Q1,Total,Mini-marts & Convenience Stores,103.6
2012-Q1,Total,Food Retailers,108.8
2012-Q1,Total,Motor Vehicles,136.6
2012-Q1,Total,Petrol Service Stations,102.4
2012-Q1,Total,Medical Goods & Toiletries,95.1
2012-Q1,Total,Wearing Apparel & Footwear,105.3
2012-Q1,Total,Furniture & Household Equipment,107.3
2012-Q1,Total,Recreational Goods,100.5
2012-Q1,Total,Watches & Jewellery,87.9
2012-Q1,Total,Computer & Telecommunications Equipment,101.4
2012-Q1,Total,Optical Goods & Books,100.9
2012-Q1,Total,Others,106.8
2012-Q2,Total,Department Stores,92.4
2012-Q2,Total,Supermarkets,96.2
2012-Q2,Total,Mini-marts & Convenience Stores,100.1
2012-Q2,Total,Food Retailers,89.2
2012-Q2,Total,Motor Vehicles,127.3
2012-Q2,Total,Petrol Service Stations,101.8
2012-Q2,Total,Medical Goods & Toiletries,93
2012-Q2,Total,Wearing Apparel & Footwear,95.8
2012-Q2,Total,Furniture & Household Equipment,105.2
2012-Q2,Total,Recreational Goods,108.4
2012-Q2,Total,Watches & Jewellery,87.9
2012-Q2,Total,Computer & Telecommunications Equipment,102.5
2012-Q2,Total,Optical Goods & Books,94.7
2012-Q2,Total,Others,102.8
2012-Q3,Total,Department Stores,92
2012-Q3,Total,Supermarkets,101.6
2012-Q3,Total,Mini-marts & Convenience Stores,103.6
2012-Q3,Total,Food Retailers,93.5
2012-Q3,Total,Motor Vehicles,118.3
2012-Q3,Total,Petrol Service Stations,103.2
2012-Q3,Total,Medical Goods & Toiletries,90.6
2012-Q3,Total,Wearing Apparel & Footwear,96
2012-Q3,Total,Furniture & Household Equipment,107.6
2012-Q3,Total,Recreational Goods,101.5
2012-Q3,Total,Watches & Jewellery,83.9
2012-Q3,Total,Computer & Telecommunications Equipment,100
2012-Q3,Total,Optical Goods & Books,91.4
2012-Q3,Total,Others,104
2012-Q4,Total,Department Stores,101.6
2012-Q4,Total,Supermarkets,101.3
2012-Q4,Total,Mini-marts & Convenience Stores,102.2
2012-Q4,Total,Food Retailers,98.9
2012-Q4,Total,Motor Vehicles,118
2012-Q4,Total,Petrol Service Stations,99.2
2012-Q4,Total,Medical Goods & Toiletries,95.9
2012-Q4,Total,Wearing Apparel & Footwear,112.6
2012-Q4,Total,Furniture & Household Equipment,115.3
2012-Q4,Total,Recreational Goods,110.2
2012-Q4,Total,Watches & Jewellery,94.3
2012-Q4,Total,Computer & Telecommunications Equipment,125.6
2012-Q4,Total,Optical Goods & Books,104.8
2012-Q4,Total,Others,103.6
2013-Q1,Total,Department Stores,99.7
2013-Q1,Total,Supermarkets,104.8
2013-Q1,Total,Mini-marts & Convenience Stores,105.1
2013-Q1,Total,Food Retailers,113.2
2013-Q1,Total,Motor Vehicles,105.3
2013-Q1,Total,Petrol Service Stations,98.9
2013-Q1,Total,Medical Goods & Toiletries,99.3
2013-Q1,Total,Wearing Apparel & Footwear,107.7
2013-Q1,Total,Furniture & Household Equipment,103.9
2013-Q1,Total,Recreational Goods,100.4
2013-Q1,Total,Watches & Jewellery,90.7
2013-Q1,Total,Computer & Telecommunications Equipment,97.6
2013-Q1,Total,Optical Goods & Books,98.9
2013-Q1,Total,Others,104.1
2013-Q2,Total,Department Stores,94.9
2013-Q2,Total,Supermarkets,100.3
2013-Q2,Total,Mini-marts & Convenience Stores,101.3
2013-Q2,Total,Food Retailers,93
2013-Q2,Total,Motor Vehicles,115.1
2013-Q2,Total,Petrol Service Stations,100.5
2013-Q2,Total,Medical Goods & Toiletries,94.9
2013-Q2,Total,Wearing Apparel & Footwear,94.7
2013-Q2,Total,Furniture & Household Equipment,100
2013-Q2,Total,Recreational Goods,108.7
2013-Q2,Total,Watches & Jewellery,101.2
2013-Q2,Total,Computer & Telecommunications Equipment,99.1
2013-Q2,Total,Optical Goods & Books,97.8
2013-Q2,Total,Others,105.1
2013-Q3,Total,Department Stores,94.9
2013-Q3,Total,Supermarkets,102.4
2013-Q3,Total,Mini-marts & Convenience Stores,104.5
2013-Q3,Total,Food Retailers,96.9
2013-Q3,Total,Motor Vehicles,80.9
2013-Q3,Total,Petrol Service Stations,102.5
2013-Q3,Total,Medical Goods & Toiletries,92.2
2013-Q3,Total,Wearing Apparel & Footwear,95.5
2013-Q3,Total,Furniture & Household Equipment,104.2
2013-Q3,Total,Recreational Goods,107.4
2013-Q3,Total,Watches & Jewellery,95.6
2013-Q3,Total,Computer & Telecommunications Equipment,90.7
2013-Q3,Total,Optical Goods & Books,96.8
2013-Q3,Total,Others,104.7
2013-Q4,Total,Department Stores,104.2
2013-Q4,Total,Supermarkets,101.4
2013-Q4,Total,Mini-marts & Convenience Stores,100.8
2013-Q4,Total,Food Retailers,98.2
2013-Q4,Total,Motor Vehicles,79.4
2013-Q4,Total,Petrol Service Stations,99.1
2013-Q4,Total,Medical Goods & Toiletries,99.3
2013-Q4,Total,Wearing Apparel & Footwear,112.4
2013-Q4,Total,Furniture & Household Equipment,109.6
2013-Q4,Total,Recreational Goods,111
2013-Q4,Total,Watches & Jewellery,105
2013-Q4,Total,Computer & Telecommunications Equipment,110.7
2013-Q4,Total,Optical Goods & Books,109.5
2013-Q4,Total,Others,104.1
2014-Q1,Total,Department Stores,101.7
2014-Q1,Total,Supermarkets,103.8
2014-Q1,Total,Mini-marts & Convenience Stores,100
2014-Q1,Total,Food Retailers,117.6
2014-Q1,Total,Motor Vehicles,94.4
2014-Q1,Total,Petrol Service Stations,100.1
2014-Q1,Total,Medical Goods & Toiletries,103.1
2014-Q1,Total,Wearing Apparel & Footwear,105.4
2014-Q1,Total,Furniture & Household Equipment,97.9
2014-Q1,Total,Recreational Goods,100.7
2014-Q1,Total,Watches & Jewellery,104.9
2014-Q1,Total,Computer & Telecommunications Equipment,92
2014-Q1,Total,Optical Goods & Books,98.1
2014-Q1,Total,Others,99.2
2014-Q2,Total,Department Stores,96
2014-Q2,Total,Supermarkets,96.4
2014-Q2,Total,Mini-marts & Convenience Stores,98.5
2014-Q2,Total,Food Retailers,92
2014-Q2,Total,Motor Vehicles,96.8
2014-Q2,Total,Petrol Service Stations,99.5
2014-Q2,Total,Medical Goods & Toiletries,97.6
2014-Q2,Total,Wearing Apparel & Footwear,93
2014-Q2,Total,Furniture & Household Equipment,98.2
2014-Q2,Total,Recreational Goods,99.2
2014-Q2,Total,Watches & Jewellery,93.1
2014-Q2,Total,Computer & Telecommunications Equipment,88.2
2014-Q2,Total,Optical Goods & Books,99.9
2014-Q2,Total,Others,94.9
2014-Q3,Total,Department Stores,96.3
2014-Q3,Total,Supermarkets,100.3
2014-Q3,Total,Mini-marts & Convenience Stores,102.1
2014-Q3,Total,Food Retailers,93.7
2014-Q3,Total,Motor Vehicles,104.2
2014-Q3,Total,Petrol Service Stations,102.8
2014-Q3,Total,Medical Goods & Toiletries,97.2
2014-Q3,Total,Wearing Apparel & Footwear,91.6
2014-Q3,Total,Furniture & Household Equipment,98.7
2014-Q3,Total,Recreational Goods,94.4
2014-Q3,Total,Watches & Jewellery,93.8
2014-Q3,Total,Computer & Telecommunications Equipment,86.3
2014-Q3,Total,Optical Goods & Books,97.6
2014-Q3,Total,Others,99.2
2014-Q4,Total,Department Stores,106.1
2014-Q4,Total,Supermarkets,99.4
2014-Q4,Total,Mini-marts & Convenience Stores,99.4
2014-Q4,Total,Food Retailers,96.6
2014-Q4,Total,Motor Vehicles,104.5
2014-Q4,Total,Petrol Service Stations,97.7
2014-Q4,Total,Medical Goods & Toiletries,102.2
2014-Q4,Total,Wearing Apparel & Footwear,110
2014-Q4,Total,Furniture & Household Equipment,105.2
2014-Q4,Total,Recreational Goods,105.8
2014-Q4,Total,Watches & Jewellery,108.3
2014-Q4,Total,Computer & Telecommunications Equipment,133.6
2014-Q4,Total,Optical Goods & Books,104.3
2014-Q4,Total,Others,106.7
2015-Q1,Total,Department Stores,105.9
2015-Q1,Total,Supermarkets,102.9
2015-Q1,Total,Mini-marts & Convenience Stores,96.8
2015-Q1,Total,Food Retailers,107.7
2015-Q1,Total,Motor Vehicles,129.2
2015-Q1,Total,Petrol Service Stations,88.4
2015-Q1,Total,Medical Goods & Toiletries,100.1
2015-Q1,Total,Wearing Apparel & Footwear,104.1
2015-Q1,Total,Furniture & Household Equipment,96.3
2015-Q1,Total,Recreational Goods,91.1
2015-Q1,Total,Watches & Jewellery,105.2
2015-Q1,Total,Computer & Telecommunications Equipment,97.3
2015-Q1,Total,Optical Goods & Books,96.1
2015-Q1,Total,Others,107
2015-Q2,Total,Department Stores,99.4
2015-Q2,Total,Supermarkets,97.4
2015-Q2,Total,Mini-marts & Convenience Stores,95.3
2015-Q2,Total,Food Retailers,85.9
2015-Q2,Total,Motor Vehicles,158.7
2015-Q2,Total,Petrol Service Stations,84.2
2015-Q2,Total,Medical Goods & Toiletries,100.8
2015-Q2,Total,Wearing Apparel & Footwear,90.6
2015-Q2,Total,Furniture & Household Equipment,95.3
2015-Q2,Total,Recreational Goods,92.5
2015-Q2,Total,Watches & Jewellery,92.7
2015-Q2,Total,Computer & Telecommunications Equipment,86.6
2015-Q2,Total,Optical Goods & Books,93.5
2015-Q2,Total,Others,106.8
2015-Q3,Total,Department Stores,99.8
2015-Q3,Total,Supermarkets,101.9
2015-Q3,Total,Mini-marts & Convenience Stores,97.9
2015-Q3,Total,Food Retailers,90.4
2015-Q3,Total,Motor Vehicles,149.7
2015-Q3,Total,Petrol Service Stations,85.7
2015-Q3,Total,Medical Goods & Toiletries,104.7
2015-Q3,Total,Wearing Apparel & Footwear,89.2
2015-Q3,Total,Furniture & Household Equipment,97.4
2015-Q3,Total,Recreational Goods,92.8
2015-Q3,Total,Watches & Jewellery,101.7
2015-Q3,Total,Computer & Telecommunications Equipment,85.9
2015-Q3,Total,Optical Goods & Books,89.6
2015-Q3,Total,Others,107.9
2015-Q4,Total,Department Stores,105.7
2015-Q4,Total,Supermarkets,99.4
2015-Q4,Total,Mini-marts & Convenience Stores,95.9
2015-Q4,Total,Food Retailers,85.5
2015-Q4,Total,Motor Vehicles,168.5
2015-Q4,Total,Petrol Service Stations,83.8
2015-Q4,Total,Medical Goods & Toiletries,111.3
2015-Q4,Total,Wearing Apparel & Footwear,106.5
2015-Q4,Total,Furniture & Household Equipment,101.5
2015-Q4,Total,Recreational Goods,97.7
2015-Q4,Total,Watches & Jewellery,105.6
2015-Q4,Total,Computer & Telecommunications Equipment,106.2
2015-Q4,Total,Optical Goods & Books,97.6
2015-Q4,Total,Others,112.4
2016-Q1,Total,Department Stores,104.4
2016-Q1,Total,Supermarkets,101.8
2016-Q1,Total,Mini-marts & Convenience Stores,98.2
2016-Q1,Total,Food Retailers,87.4
2016-Q1,Total,Motor Vehicles,185.7
2016-Q1,Total,Petrol Service Stations,82.1
2016-Q1,Total,Medical Goods & Toiletries,108.8
2016-Q1,Total,Wearing Apparel & Footwear,97.7
2016-Q1,Total,Furniture & Household Equipment,94.4
2016-Q1,Total,Recreational Goods,88.8
2016-Q1,Total,Watches & Jewellery,97.4
2016-Q1,Total,Computer & Telecommunications Equipment,76
2016-Q1,Total,Optical Goods & Books,89.3
2016-Q1,Total,Others,112.7
2016-Q2,Total,Department Stores,96.2
2016-Q2,Total,Supermarkets,94.3
2016-Q2,Total,Mini-marts & Convenience Stores,95.1
2016-Q2,Total,Food Retailers,79.2
2016-Q2,Total,Motor Vehicles,206
2016-Q2,Total,Petrol Service Stations,80.8
2016-Q2,Total,Medical Goods & Toiletries,103.1
2016-Q2,Total,Wearing Apparel & Footwear,86.9
2016-Q2,Total,Furniture & Household Equipment,96.9
2016-Q2,Total,Recreational Goods,88
2016-Q2,Total,Watches & Jewellery,84.7
2016-Q2,Total,Computer & Telecommunications Equipment,68.4
2016-Q2,Total,Optical Goods & Books,85.4
2016-Q2,Total,Others,111.4
2016-Q3,Total,Department Stores,96.4
2016-Q3,Total,Supermarkets,97
2016-Q3,Total,Mini-marts & Convenience Stores,97.9
2016-Q3,Total,Food Retailers,81.6
2016-Q3,Total,Motor Vehicles,194.3
2016-Q3,Total,Petrol Service Stations,83.5
2016-Q3,Total,Medical Goods & Toiletries,107.7
2016-Q3,Total,Wearing Apparel & Footwear,85.6
2016-Q3,Total,Furniture & Household Equipment,94.9
2016-Q3,Total,Recreational Goods,88.5
2016-Q3,Total,Watches & Jewellery,85.1
2016-Q3,Total,Computer & Telecommunications Equipment,73.6
2016-Q3,Total,Optical Goods & Books,85
2016-Q3,Total,Others,114.8
2016-Q4,Total,Department Stores,103.8
2016-Q4,Total,Supermarkets,97.3
2016-Q4,Total,Mini-marts & Convenience Stores,95.1
2016-Q4,Total,Food Retailers,83.7
2016-Q4,Total,Motor Vehicles,186.8
2016-Q4,Total,Petrol Service Stations,81.2
2016-Q4,Total,Medical Goods & Toiletries,118
2016-Q4,Total,Wearing Apparel & Footwear,102.6
2016-Q4,Total,Furniture & Household Equipment,102.8
2016-Q4,Total,Recreational Goods,100.6
2016-Q4,Total,Watches & Jewellery,99.5
2016-Q4,Total,Computer & Telecommunications Equipment,97.3
2016-Q4,Total,Optical Goods & Books,94.3
2016-Q4,Total,Others,117.5
2017-Q1,Total,Department Stores,99.6
2017-Q1,Total,Supermarkets,99.6
2017-Q1,Total,Mini-marts & Convenience Stores,92.7
2017-Q1,Total,Food Retailers,85.8
2017-Q1,Total,Motor Vehicles,200.7
2017-Q1,Total,Petrol Service Stations,81.8
2017-Q1,Total,Medical Goods & Toiletries,116.8
2017-Q1,Total,Wearing Apparel & Footwear,96.2
2017-Q1,Total,Furniture & Household Equipment,93.4
2017-Q1,Total,Recreational Goods,90.7
2017-Q1,Total,Watches & Jewellery,99.5
2017-Q1,Total,Computer & Telecommunications Equipment,74.5
2017-Q1,Total,Optical Goods & Books,87.7
2017-Q1,Total,Others,113.7
2017-Q2,Total,Department Stores,101
2017-Q2,Total,Supermarkets,94.3
2017-Q2,Total,Mini-marts & Convenience Stores,91.7
2017-Q2,Total,Food Retailers,75
2017-Q2,Total,Motor Vehicles,200.5
2017-Q2,Total,Petrol Service Stations,82.5
2017-Q2,Total,Medical Goods & Toiletries,110.4
2017-Q2,Total,Wearing Apparel & Footwear,87.5
2017-Q2,Total,Furniture & Household Equipment,100.5
2017-Q2,Total,Recreational Goods,90.9
2017-Q2,Total,Watches & Jewellery,90.9
2017-Q2,Total,Computer & Telecommunications Equipment,70.7
2017-Q2,Total,Optical Goods & Books,85.9
2017-Q2,Total,Others,108.1
2017-Q3,Total,Department Stores,100.8
2017-Q3,Total,Supermarkets,101.3
2017-Q3,Total,Mini-marts & Convenience Stores,96.4
2017-Q3,Total,Food Retailers,78.6
2017-Q3,Total,Motor Vehicles,184.7
2017-Q3,Total,Petrol Service Stations,83.8
2017-Q3,Total,Medical Goods & Toiletries,116.5
2017-Q3,Total,Wearing Apparel & Footwear,89.1
2017-Q3,Total,Furniture & Household Equipment,94.5
2017-Q3,Total,Recreational Goods,93.3
2017-Q3,Total,Watches & Jewellery,88.9
2017-Q3,Total,Computer & Telecommunications Equipment,73.3
2017-Q3,Total,Optical Goods & Books,82.8
2017-Q3,Total,Others,113.7
